Villages,Taluka,Population,Gram Panchayat,Nearest Town,,
Abdullapuram,Cheyyar,"2,594",Abdullapuram,Kancheepuram (7 km),,
Agatheripattu,Cheyyar,302,N/A,Cheyyar (16 km),,
Akkur,Cheyyar,"2,896",Akkur,Vandavasi (26 km),,
Alanthangal,Cheyyar,541,N/A,Cheyyar (15 km),,
Alathur,Cheyyar,"1,840",Alathur,Uthiramerur (15 km),,
Alathurai,Cheyyar,"1,437",Alathurai,Vandavasi (15 km),,
Anakkavoor,Cheyyar,"4,401",Anakkavoor,Cheyyar (3 km),,
Anappathur,Cheyyar,"2,592",Anapathur,Cheyyar (10 km),,
Arasanipalai,Cheyyar,"1,155",Arasanipalai,Kancheepuram (20 km),,
Arasankuppam,Cheyyar,"1,106",N/A,Kancheepuram (15 km),,
Arasur,Cheyyar,984,Arasur,Cheyyar (8 km),,
Arathrivelur,Cheyyar,740,Aradrivelur,Cheyyar (8 km),,
Ariyur,Cheyyar,896,Ariyur,Arcot (26 km),,
Arugavoor,Cheyyar,"1,547",Arugavoor,Cheyyar (5 km),,
Arumparuthi,Cheyyar,738,Arumparuthi,Cheyyar (9 km),,
Athi,Cheyyar,796,Athi,Cheyyar (9 km),,
Ayyavadi,Cheyyar,634,N/A,Vandavasi (13 km),,
Azhinjalpattu,Cheyyar,892,Azhinjalpattu,Cheyyar (13 km),,
Azhividaithangi,Cheyyar,"4,494",Azhividaithangi,Cheyyar (18 km),,
Bagavanthapuram,Cheyyar,777,N/A,Sevilimedu (13 km),,
Barathanthangal,Cheyyar,515,N/A,Cheyyar (5 km),,
Booderi,Cheyyar,764,Pullavakkam,Cheyyar (10 km),,
Brammadesam,Cheyyar,"5,747",Brammadesam,Cheyyar (27 km),,
Chellaperumpulimedu,Cheyyar,545,N/A,Cheyyar (12 km),,
Chettithangal,Cheyyar,325,Arasankuppam,Kancheepuram (15 km),,
Cheyyanur,Cheyyar,"1,179",Cheyyanur,Cheyyar (22 km),,
Cheyyatraivendran,Cheyyar,"1,719",Cheyyatraivendran,Cheyyar (6 km),,
Chithalapakkam,Cheyyar,589,N/A,Kancheepuram (20 km),,
Chithamur,Cheyyar,437,Chithamoor,Cheyyar (10 km),,
Chithathur,Cheyyar,"2,654",Chithathur,Cheyyar (13 km),,
Chozhavaram,Cheyyar,"1,316",N/A,Cheyyar (15 km),,
Devanathur,Cheyyar,637,N/A,Arani (16 km),,
Dharmacheri,Cheyyar,103,N/A,Kancheepuram (20 km),,
Duli,Cheyyar,"1,154",Duli,Cheyyar (7 km),,
Echur,Cheyyar,"3,501",Echur,Vandavasi (9 km),,
Elaneerkundram,Cheyyar,"1,563",Ilaneerkundram,Cheyyar (13 km),,
Enathavadi,Cheyyar,"1,839",Enthavadi,Cheyyar (13 km),,
Eraiyur,Cheyyar,"1,369",Eraiyur,Cheyyar (12 km),,
Erumaivetti,Cheyyar,"1,609",Erumaivetti,Cheyyar (10 km),,
Ezhacheri,Cheyyar,"2,080",Elacheri,Kancheepuram (15 km),,
Girijapuram,Cheyyar,243,N/A,Sevilimedu (13 km),,
Hariharapakkam,Cheyyar,"1,094",Hariyarapakkam,Kancheepuram (15 km),,
Hasanamapettai,Cheyyar,"1,582",Hasanamapet,Cheyyar (12 km),,
Irumaram,Cheyyar,"1,597",Irumaram,Cheyyar (24 km),,
Irungal,Cheyyar,"1,659",Irungal,Cheyyar (6 km),,
Jaderi,Cheyyar,530,N/A,Cheyyar (8 km),,
Kaduganur,Cheyyar,"1,281",Kaduganoor,Cheyyar (18 km),,
Kaganam,Cheyyar,806,Kaganam,Cheyyar (14 km),,
Kammanthangal,Cheyyar,645,N/A,Cheyyar (14 km),,
Kanagampakkam,Cheyyar,231,N/A,Kancheepuram (20 km),,
Kanikiluppai,Cheyyar,771,N/A,Kancheepuram (11 km),,
Karanai,Cheyyar,677,Karanai,Cheyyar (16 km),,
Karanthai,Cheyyar,881,Karanthai,Cheyyar (15 km),,
Kazhanipakkam,Cheyyar,825,Kalanipakkam,Cheyyar (11 km),,
Kazhiyur,Cheyyar,"1,714",Kazhiyur,Cheyyar (5 km),,
Kizhapalanthai,Cheyyar,"1,621",Kilpalandai,Cheyyar (17 km),,
Kizhathur,Cheyyar,918,Kilathur,Cheyyar (9 km),,
Kizhkolathur,Cheyyar,621,Kilkolathur,Cheyyar (10 km),,
Kizhmattai,Cheyyar,"1,397",Vellai,Cheyyar (3 km),,
Kizhnaickanpalayam,Cheyyar,544,Keelnayakanpalayam,Sevilimedu (12 km),,
Kizhneerkundrum,Cheyyar,649,Kilneerkundram,Cheyyar (15 km),,
Kizhnelli,Cheyyar,"1,580",Kizhnelli,Cheyyar (18 km),,
Kizhnethapakkam,Cheyyar,"1,314",Kilnethapakkam,Cheyyar (18 km),,
Kodaiyampakkam,Cheyyar,843,Kodaiyambakkam,Cheyyar (15 km),,
Koozhamandal,Cheyyar,"1,750",Koolamandal,Vandavasi (22 km),,
Korukkai,Cheyyar,981,Korukkai,Cheyyar (15 km),,
Korukkathur,Cheyyar,"1,909",Korukkathur,Arani (15 km),,
Kottakoram,Cheyyar,"1,019",Kottagaram,Cheyyar (14 km),,
Kovilur,Cheyyar,"1,699",Kovilur,Cheyyar (12 km),,
Kundiyanthandalam,Cheyyar,703,Kundiyanthandalam,Sevilimedu (16 km),,
Kunnathur,Cheyyar,"1,433",Kunnathur,Cheyyar (9 km),,
Kunnavakkam,Cheyyar,"1,259",Kunnaavakkam,Cheyyar (15 km),,
Kuranganilmuttam,Cheyyar,702,N/A,Kancheepuram (10 km),,
Kurumbur,Cheyyar,955,Kurumbur,Vandavasi (12 km),,
Kuthanur,Cheyyar,"3,509",Kuthanur,Cheyyar (22 km),,
Madipakkam,Cheyyar,"1,262",Madipakkam,Cheyyar (16 km),,
Madurai,Cheyyar,818,Madhurai,Cheyyar (10 km),,
Mahajanampakkam,Cheyyar,"1,707",Mahajanambakkam,Vandavasi (25 km),,
Maligaipattu,Cheyyar,"1,073",Maligaipattu,Cheyyar (15 km),,
Mamandur,Cheyyar,"4,287",Mamandur,Sevilimedu (4 km),,
Mangal,Cheyyar,767,Maangal,Sevilimedu (13 km),,
Mangalam,Cheyyar,314,N/A,Cheyyar (10 km),,
Mariyanallur,Cheyyar,506,Mariyanallur,Cheyyar (10 km),,
Mathur,Cheyyar,"2,147",Mathur,Sevilimedu (10 km),,
Mel Kolathur,Cheyyar,496,Melkolathur,Cheyyar (7 km),,
Mel Nemili,Cheyyar,"1,457",Melnemili,Cheyyar (15 km),,
Mel Seeshamangalam,Cheyyar,"6,224",Melseeshamangalam,Arani (8 km),,
Melboodri,Cheyyar,431,N/A,Cheyyar (15 km),,
Melkovalavedu,Cheyyar,16,N/A,Cheyyar (20 km),,
Melma,Cheyyar,808,Melma,Vandavasi (11 km),,
Melmattai,Cheyyar,182,N/A,Cheyyar (20 km),,
Melnagarambedu,Cheyyar,"2,133",Melnagarambedu,Cheyyar (19 km),,
Melnarma,Cheyyar,799,N/A,Vandavasi (16 km),,
Melputhur,Cheyyar,459,N/A,Arani (13 km),,
Menallur,Cheyyar,"1,444",Menallur,Sevilimedu (14 km),,
Moonjurpattu,Cheyyar,577,Moonjurpattu,Arcot (24 km),,
Moranam,Cheyyar,"2,512",Moranam,Cheyyar (12 km),,
Mukkur,Cheyyar,"1,616",Mukkur,Cheyyar (13 km),,
Mulagiripattu,Cheyyar,768,Mulagiripattu,Cheyyar (12 km),,
Munugapattu,Cheyyar,"3,282",Munugapattu,Arani (13 km),,
Murukathampoondi,Cheyyar,813,Murukathanpoondi,Cheyyar (13 km),,
Nallallam,Cheyyar,806,Nallalam,Cheyyar (12 km),,
Namandi,Cheyyar,"2,031",Namandi,Sevilimedu (8 km),,
Narasamangalam,Cheyyar,"1,703",Narasamangalam,Kancheepuram (12 km),,
Narmapallam,Cheyyar,605,Narmapallam,Cheyyar (17 km),,
Natteri,Cheyyar,"5,066",Natteri,Cheyyar (27 km),,
Naval,Cheyyar,"1,292",Naval,Cheyyar (10 km),,
Navalpakkam,Cheyyar,"2,164",Navalpakkam,Arani (20 km),,
Nayanthangal,Cheyyar,697,N/A,Cheyyar (16 km),,
Nedumpirai,Cheyyar,"1,418",Nedumbirai,Cheyyar (7 km),,
Nedungal,Cheyyar,"1,927",Nedungal,Cheyyar (16 km),,
Nelvai,Cheyyar,621,Nelvoy,Cheyyar (6 km),,
Nemili,Cheyyar,585,Nemili,Kancheepuram (17 km),,
Ozhukkavakkam,Cheyyar,213,N/A,Kancheepuram (16 km),,
Paingkinar,Cheyyar,"2,678",Painkinar,Cheyyar (2 km),,
Paiyur,Cheyyar,847,Payyur,Vandavasi (12 km),,
Pallavaram,Cheyyar,"1,743",Pallavaram,Kancheepuram (10 km),,
Palli,Cheyyar,"2,722",Palli,Cheyyar (10 km),,
Panamugai,Cheyyar,968,Panamugai,Cheyyar (25 km),,
Pandiyampakkam,Cheyyar,937,N/A,Cheyyar (14 km),,
Pappanthangal,Cheyyar,"1,948",Pappanthangal,Cheyyar (4 km),,
Parasur,Cheyyar,"2,301",Parasur,Cheyyar (12 km),,
Pavoor,Cheyyar,"1,370",Pavoor,Kancheepuram (18 km),,
Pazhanjur,Cheyyar,626,Palanjur,Vandavasi (8 km),,
Periyakoil,Cheyyar,582,N/A,Cheyyar (8 km),,
Perumanthangal,Cheyyar,"1,259",Perunmanthangal,Cheyyar (15 km),,
Perumpalai,Cheyyar,"1,191",Perumbalai,Cheyyar (9 km),,
Perumpallam,Cheyyar,"1,004",Perumpallam,Cheyyar (6 km),,
Perumpandi,Cheyyar,57,N/A,Cheyyar (9 km),,
Perumpulimedu,Cheyyar,565,Sozhavaram,Cheyyar (15 km),,
Perungalathur,Cheyyar,"1,777",Perungalathur,Cheyyar (4 km),,
Perungattur,Cheyyar,"3,735",Perungattur,Cheyyar (13 km),,
Pillanthangal,Cheyyar,"1,308",Pillanthangal,Kancheepuram (15 km),,
Pillanthi,Cheyyar,840,Pillanthi,Arani (16 km),,
Poonaithangal,Cheyyar,277,Poonaithangal,Sevilimedu (10 km),,
Poonthandalam,Cheyyar,275,N/A,Cheyyar (25 km),,
Pudukottai,Cheyyar,793,Pudukottai,Cheyyar (20 km),,
Pudupalayam,Cheyyar,853,Pudupalayam,Sevilimedu (17 km),,
Pulivalam,Cheyyar,783,Pulivalam,Cheyyar (30 km),,
Puliyarampakkam,Cheyyar,"1,673",Puliyarampakkam,Cheyyar (2 km),,
Pullavakkam,Cheyyar,"1,091",N/A,Cheyyar (10 km),,
Pulundai,Cheyyar,809,N/A,Cheyyar (15 km),,
Punnai,Cheyyar,707,Punnai,Kancheepuram (20 km),,
Purisai,Cheyyar,"2,374",Purisai,Cheyyar (15 km),,
Ramakrishnapuram,Cheyyar,"1,422",Ramakrishnapuram,Cheyyar (8 km),,
Randham,Cheyyar,"2,471",Rantham,Cheyyar (15 km),,
Sattuvanthangal,Cheyyar,"1,139",Sattuvanthangal,Cheyyar (25 km),,
Seevaram,Cheyyar,880,N/A,Kancheepuram (25 km),,
Seleri,Cheyyar,548,N/A,Cheyyar (17 km),,
Sengadu,Cheyyar,"2,674",Sengadu,Cheyyar (9 km),,
Sengattankundil,Cheyyar,"1,636",Senkattankudil,Cheyyar (10 km),,
Seniyanallur,Cheyyar,373,N/A,Sevilimedu (10 km),,
Serampattu,Cheyyar,381,N/A,Cheyyar (11 km),,
Sirunallur,Cheyyar,563,Sirunallur,Kancheepuram (17 km),,
Sirunavalpattu,Cheyyar,"1,383",Sirunavalpattu,Kancheepuram (24 km),,
Sirungattur,Cheyyar,"1,593",N/A,Cheyyar (7 km),,
Siruvanjipattu,Cheyyar,405,Siruvanjipattu,Cheyyar (20 km),,
Siruveliyanallur,Cheyyar,"1,137",Siruveliyanallur,Cheyyar (10 km),,
Sothiyampakkam,Cheyyar,"1,185",Sodiyambakkam,Sevilimedu (13 km),,
Soundariyapuram,Cheyyar,"1,040",Soundaryapuram,Vandavasi (8 km),,
Sumangali,Cheyyar,"1,628",Sumangali,Cheyyar (14 km),,
Sunaipattu,Cheyyar,680,N/A,Cheyyar (30 km),,
Sundivakkam,Cheyyar,628,Sundivakkam,Cheyyar (7 km),,
Suruttal,Cheyyar,"1,266",Suruttal,Sevilimedu (17 km),,
Thalarapadi,Cheyyar,593,Thalarapadi,Cheyyar (15 km),,
Thalikkal,Cheyyar,525,N/A,Kancheepuram (14 km),,
Thandappanthangal,Cheyyar,"1,117",N/A,Cheyyar (15 km),,
Thandarai,Cheyyar,"1,645",Thandarai,Cheyyar (3 km),,
Thavasi,Cheyyar,"2,004",Thavasi,Cheyyar (5 km),,
Thenelapakkam,Cheyyar,"1,324",Thenelapakkam,Vandavasi (8 km),,
Theneluppai,Cheyyar,974,Theniluppai,Cheyyar (13 km),,
Thenkalpakkam,Cheyyar,667,Thenkalpakkam,Vandavasi (8 km),,
Thenkazhani,Cheyyar,"2,494",Thenkazhani,Cheyyar (12 km),,
Thenmavanthal,Cheyyar,570,Thenmavandal,Cheyyar (7 km),,
Thennampattu,Cheyyar,"2,339",Thennampattu,Cheyyar (22 km),,
Thenpoondipattu,Cheyyar,525,Thenpoondipattu,Cheyyar (9 km),,
Thenthandalam,Cheyyar,787,Thenthandalam,Cheyyar (8 km),,
Thethurai,Cheyyar,"1,226",Thethurai,Vandavasi (13 km),,
Thirumani,Cheyyar,"3,618",Palanthangal,Arani (9 km),,
Thirumpoondi,Cheyyar,"1,630",Thirumpoondi,Vandavasi (8 km),,
Thiruppanamoor,Cheyyar,"2,233",Thiruppanamur,Cheyyar (15 km),,
Thiruppanangadu,Cheyyar,"1,863",Thiruppanangadu,Kancheepuram (15 km),,
Thiruvadirayapuram,Cheyyar,631,N/A,Cheyyar (16 km),,
Thozhupedu,Cheyyar,"1,610",Thozhupedu,Cheyyar (15 km),,
Thumbai,Cheyyar,633,Thumbai,Cheyyar (6 km),,
Ukkal,Cheyyar,"2,434",Ukkal,Kancheepuram (19 km),,
Ukkamperumbakkam,Cheyyar,"1,243",Ukkamperumpakkam,Sevilimedu (12 km),,
Umaiyalpuram,Cheyyar,884,Umaiyalpuram,Kancheepuram (19 km),,
Vachanur,Cheyyar,"1,207",Vachanur,Vandavasi (15 km),,
Vada Mavanthal,Cheyyar,"1,930",N/A,Sevilimedu (6 km),,
Vadaelapakkam,Cheyyar,144,N/A,Cheyyar (5 km),,
Vadailuppai,Cheyyar,"2,363",Vadailuppai,Cheyyar (22 km),,
Vadakalpakkam,Cheyyar,"1,222",Vadakalpakkam,Sevilimedu (11 km),,
Vadalapiranthan,Cheyyar,764,Vadalapiranthan,Cheyyar (10 km),,
Vadamanapakkam,Cheyyar,"2,657",Vadamanapakkam,Cheyyar (12 km),,
Vadanangur,Cheyyar,160,N/A,Vandavasi (6 km),,
Vadangampattu,Cheyyar,644,Vadangampattu,Cheyyar (8 km),,
Vadapoondipattu,Cheyyar,969,Vadapoondipattu,Cheyyar (10 km),,
Vadathandalam,Cheyyar,"1,342",Vadathandalam,Cheyyar (2 km),,
Vadathinallur,Cheyyar,"1,445",Vadathinnalur,Cheyyar (16 km),,
Vadugapattu,Cheyyar,840,Vadugapattu,Cheyyar (10 km),,
Vakkadai,Cheyyar,"1,406",Vakkadai,Cheyyar (11 km),,
Vayalathur,Cheyyar,505,Vayalathur,Kancheepuram (20 km),,
Vazhavandal,Cheyyar,444,N/A,Sevilimedu (11 km),,
Veerampakkam,Cheyyar,"2,039",Veerambakkam,Vandavasi (7 km),,
Veliyanallur,Cheyyar,"1,538",Veliyanallur,Cheyyar (6 km),,
Vellai,Cheyyar,457,N/A,Cheyyar (4 km),,
Vellakulam,Cheyyar,830,Vellakulam,Kancheepuram (13 km),,
Velleripattu,Cheyyar,"1,876",N/A,Cheyyar (20 km),,
Vembakkam,Cheyyar,"3,177",Vembakkam,Cheyyar (18 km),,
Vengalathur,Cheyyar,"2,315",Vengalathur,Kancheepuram (25 km),,
Vengodu,Cheyyar,"1,526",Venkodu,Vandavasi (18 km),,
Villaripattu,Cheyyar,314,N/A,Cheyyar (6 km),,
Vinnamangalam,Cheyyar,"3,303",Vinnamangalam,Cheyyar (20 km),,
Vinnavadi,Cheyyar,"1,235",Vinnavadi,Cheyyar (7 km),,
